"","sample","probe","value","type"
"265","TCGA-4Z-AA7Q-01","StromalScore.estimate",-734.907288486722,"estimate"
"266","TCGA-4Z-AA7Q-01","ImmuneScore.estimate",1300.26098567398,"estimate"
"267","TCGA-4Z-AA7Q-01","ESTIMATEScore.estimate",565.353697187254,"estimate"
"268","TCGA-4Z-AA7R-01","StromalScore.estimate",-1085.21083103818,"estimate"
"269","TCGA-4Z-AA7R-01","ImmuneScore.estimate",-1030.75320402646,"estimate"
"270","TCGA-4Z-AA7R-01","ESTIMATEScore.estimate",-2115.96403506465,"estimate"
"271","TCGA-4Z-AA7S-01","StromalScore.estimate",-1503.93964822335,"estimate"
"272","TCGA-4Z-AA7S-01","ImmuneScore.estimate",-1052.61732176688,"estimate"
"273","TCGA-4Z-AA7S-01","ESTIMATEScore.estimate",-2556.55696999023,"estimate"
"274","TCGA-4Z-AA7W-01","StromalScore.estimate",-309.762335984293,"estimate"
"275","TCGA-4Z-AA7W-01","ImmuneScore.estimate",2264.13722116829,"estimate"
"276","TCGA-4Z-AA7W-01","ESTIMATEScore.estimate",1954.374885184,"estimate"
"277","TCGA-4Z-AA7Y-01","StromalScore.estimate",-1845.12427789563,"estimate"
"278","TCGA-4Z-AA7Y-01","ImmuneScore.estimate",-889.762059329688,"estimate"
"279","TCGA-4Z-AA7Y-01","ESTIMATEScore.estimate",-2734.88633722531,"estimate"
"280","TCGA-4Z-AA80-01","StromalScore.estimate",-1899.29838571484,"estimate"
"281","TCGA-4Z-AA80-01","ImmuneScore.estimate",-953.14812682201,"estimate"
"282","TCGA-4Z-AA80-01","ESTIMATEScore.estimate",-2852.44651253685,"estimate"
"283","TCGA-4Z-AA81-01","StromalScore.estimate",-1440.24076504088,"estimate"
"284","TCGA-4Z-AA81-01","ImmuneScore.estimate",334.409897203173,"estimate"
"285","TCGA-4Z-AA81-01","ESTIMATEScore.estimate",-1105.8308678377,"estimate"
"286","TCGA-4Z-AA82-01","StromalScore.estimate",-343.578693245682,"estimate"
"287","TCGA-4Z-AA82-01","ImmuneScore.estimate",-107.698656207543,"estimate"
"288","TCGA-4Z-AA82-01","ESTIMATEScore.estimate",-451.277349453225,"estimate"
"289","TCGA-4Z-AA83-01","StromalScore.estimate",-983.798850354714,"estimate"
"290","TCGA-4Z-AA83-01","ImmuneScore.estimate",65.3782090999189,"estimate"
"291","TCGA-4Z-AA83-01","ESTIMATEScore.estimate",-918.420641254795,"estimate"
"292","TCGA-4Z-AA84-01","StromalScore.estimate",-1126.87738551691,"estimate"
"293","TCGA-4Z-AA84-01","ImmuneScore.estimate",-825.759160693611,"estimate"
"294","TCGA-4Z-AA84-01","ESTIMATEScore.estimate",-1952.63654621052,"estimate"
"295","TCGA-4Z-AA86-01","StromalScore.estimate",482.904730137297,"estimate"
"296","TCGA-4Z-AA86-01","ImmuneScore.estimate",1334.86286456118,"estimate"
"297","TCGA-4Z-AA86-01","ESTIMATEScore.estimate",1817.76759469848,"estimate"
"298","TCGA-4Z-AA87-01","StromalScore.estimate",-948.539714201031,"estimate"
"299","TCGA-4Z-AA87-01","ImmuneScore.estimate",136.512963436739,"estimate"
"300","TCGA-4Z-AA87-01","ESTIMATEScore.estimate",-812.026750764292,"estimate"
"301","TCGA-4Z-AA89-01","StromalScore.estimate",-2344.42541107633,"estimate"
"302","TCGA-4Z-AA89-01","ImmuneScore.estimate",-482.401360537,"estimate"
"303","TCGA-4Z-AA89-01","ESTIMATEScore.estimate",-2826.82677161333,"estimate"
"304","TCGA-5N-A9KI-01","StromalScore.estimate",-188.512365002805,"estimate"
"305","TCGA-5N-A9KI-01","ImmuneScore.estimate",217.389465921278,"estimate"
"306","TCGA-5N-A9KI-01","ESTIMATEScore.estimate",28.8771009184726,"estimate"
"307","TCGA-5N-A9KM-01","StromalScore.estimate",-315.392525008367,"estimate"
"308","TCGA-5N-A9KM-01","ImmuneScore.estimate",355.387935815381,"estimate"
"309","TCGA-5N-A9KM-01","ESTIMATEScore.estimate",39.995410807014,"estimate"
"310","TCGA-BL-A0C8-01","StromalScore.estimate",-730.631677236034,"estimate"
